doc_party_session,party_family,lok_no,session_no,pos_hindutva,pos_econ_l,pos_rural
Regional_16_13,Regional,16,13,-0.10495388888340804,0.1431564288881724,0.0233042499958378
Regional_16_14,Regional,16,14,-0.11424685784844582,-0.15519767388590044,-0.05867156891642234
Regional_16_15,Regional,16,15,-0.25971088925256924,-0.23172614069333836,-0.08180363985303753
Regional_16_16,Regional,16,16,-0.3851390210044263,0.0526020373365155,0.12159646006828703
Regional_16_17,Regional,16,17,-0.3274222306817196,0.02910893353744183,0.3462760606143547
Regional_16_5,Regional,16,5,-0.28309978406680264,-0.10170724049859865,-0.12411159783517085
Regional_16_6,Regional,16,6,-0.257517049057511,-0.2870606687685194,-0.167446836411047
Regional_16_7,Regional,16,7,-0.2337746884305664,-0.1366952540358119,-0.07990159786731538
Regional_16_8,Regional,16,8,-0.15955367966719342,0.003482545708895792,-0.005879297742706027
Regional_16_9,Regional,16,9,-0.013308046466770954,0.07291614415481545,0.028450708317045523
Regional_17_1,Regional,17,1,-0.29264035683889505,-0.1314831546164112,-0.1300173155139895
Regional_17_10,Regional,17,10,-0.010744932377442853,0.21292447847507612,0.1686674513543977
Regional_17_11,Regional,17,11,-0.16742288271817524,-0.013992941997946621,-0.024021065454134707
Regional_17_12,Regional,17,12,-0.341823961746248,0.05171555540505942,0.03168732702925039
Regional_17_14,Regional,17,14,-0.15036927288164065,0.13514693170286818,0.09613601245477141
Regional_17_15,Regional,17,15,-0.09304612993353234,0.046007803173393855,0.2992495883259737
Regional_17_2,Regional,17,2,-0.420458164340969,0.01545968237518508,-0.12053260748447409
Regional_17_3,Regional,17,3,-0.41018232776414404,0.15427699889405092,-0.1197487470848673
Regional_17_5,Regional,17,5,-0.11731657965066566,0.04624160504041428,0.14157931547119817
Regional_17_6,Regional,17,6,-0.12435430291395098,-0.046788066591936926,-0.11824129461794342
Regional_17_7,Regional,17,7,-0.099234706288666,0.20858287453366592,0.05631623633555947
Regional_17_8,Regional,17,8,-0.07809208584682907,0.09340716334976884,-0.03444840792868124
Regional_17_9,Regional,17,9,-0.09634812606878121,0.13445972799958572,0.09160549870802427
SP_16_10,SP,16,10,0.05975171230168504,-0.36760367229024865,-0.1911330592021576
SP_16_11,SP,16,11,-0.25983610126273426,-0.25192535819943457,0.1238891356767495
SP_16_12,SP,16,12,-0.3474387832479333,0.2602100647792045,-0.12575038644517433
SP_16_14,SP,16,14,-0.5258138129294706,-0.42293568285686833,0.6604450117237933
SP_16_15,SP,16,15,-0.8433018376926413,-0.24015147855345298,-0.5033229692785918
SP_16_16,SP,16,16,-0.027037009595854054,-0.3256829177891093,-1.3241304284537598
SP_16_17,SP,16,17,-0.3131972946588634,-0.5464267624484751,-0.4388891742987253
SP_16_5,SP,16,5,0.0031789709692637124,-0.12232742882541006,-0.06914794718597196
SP_16_6,SP,16,6,-0.25335999293286415,-0.4739407579965044,-0.3832121709872362
SP_16_7,SP,16,7,-0.3354681218111342,-0.23791427194746467,-0.2505659129458068
SP_16_8,SP,16,8,0.38894607068423903,-0.6344181942940201,-0.5871682544459293
