id,lok_no,session_no,party_family,ministry,sent_neg,sent_pos,sent_neu,sent_compound,sent_label
LS16-S15-STARRED-314,16,15,INC,RAILWAYS,0.0,0.025,0.975,0.39115,positive
LS16-S15-STARRED-313,16,15,BJP,RAILWAYS,0.015,0.023,0.962,0.0772,positive
LS16-S15-STARRED-312,16,15,BJP,STATISTICS AND PROGRAMME IMPLEMENTATION,0.033,0.067,0.9,0.25,positive
LS16-S15-STARRED-310,16,15,BJP,DEFENCE,0.0,0.112,0.888,0.7034,positive
LS16-S15-STARRED-309,16,15,BJP,ATOMIC ENERGY,0.0,0.082,0.9179999999999999,0.401,positive
LS16-S15-STARRED-308,16,15,BJP,MINORITY AFFAIRS,0.0,0.04,0.96,0.4404,positive
LS16-S15-STARRED-306,16,15,INC,EXTERNAL AFFAIRS,0.0805,0.017,0.9025000000000001,-0.44895,adversarial
LS16-S15-STARRED-303,16,15,Regional,COAL,0.0,0.035,0.965,0.4404,positive
LS16-S15-STARRED-301,16,15,BJP,EXTERNAL AFFAIRS,0.022,0.0275,0.9505,-0.0258,neutral
LS16-S15-STARRED-299,16,15,INC,HOME AFFAIRS,0.112,0.059,0.83,-0.7845,adversarial
LS16-S15-STARRED-297,16,15,BJP,AGRICULTURE AND FARMERS WELFARE,0.0,0.061,0.939,0.7506,positive
LS16-S15-STARRED-295,16,15,BJP,AGRICULTURE AND FARMERS WELFARE,0.0,0.105,0.895,0.9217,positive
LS16-S15-STARRED-293,16,15,BJP,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",0.048,0.06,0.892,0.2732,positive
LS16-S15-STARRED-291,16,15,Regional,AGRICULTURE AND FARMERS WELFARE,0.029,0.066,0.904,0.685,positive
LS16-S15-STARRED-290,16,15,BJP,AGRICULTURE AND FARMERS WELFARE,0.03933333333333333,0.023333333333333334,0.9373333333333335,0.16026666666666667,positive
LS16-S15-STARRED-285,16,15,BJP,HOME AFFAIRS,0.0,0.084,0.916,0.7096,positive
LS16-S15-STARRED-284,16,15,BJP,FOOD PROCESSING INDUSTRIES,0.0,0.138,0.862,0.7906,positive
LS16-S15-STARRED-280,16,15,Shiv Sena,COMMERCE AND INDUSTRY,0.04,0.03,0.93,-0.4404,adversarial
LS16-S15-STARRED-279,16,15,Shiv Sena,HUMAN RESOURCE DEVELOPMENT,0.042666666666666665,0.026,0.9313333333333333,0.07463333333333333,positive
LS16-S15-STARRED-275,16,15,Regional,COMMERCE AND INDUSTRY,0.0,0.108,0.892,0.886,positive
LS16-S15-STARRED-274,16,15,BJP,TOURISM,0.0,0.134,0.866,0.8957,positive
LS16-S15-STARRED-271,16,15,BJP,SKILL DEVELOPMENT AND ENTREPRENEURSHIP,0.0,0.081,0.919,0.8402,positive
LS16-S15-STARRED-270,16,15,BJP,HUMAN RESOURCE DEVELOPMENT,0.0,0.045,0.955,0.4404,positive
LS16-S15-STARRED-266,16,15,BJP,TOURISM,0.0,0.139,0.861,0.8689,positive
LS16-S15-STARRED-264,16,15,BJP,SKILL DEVELOPMENT AND ENTREPRENEURSHIP,0.0,0.033,0.967,0.4404,positive
LS16-S15-STARRED-260,16,15,INC,HEALTH AND FAMILY WELFARE,0.0,0.047,0.9530000000000001,0.44035,positive
LS16-S15-STARRED-259,16,15,BJP,HEALTH AND FAMILY WELFARE,0.0,0.045,0.955,0.4404,positive
LS16-S15-STARRED-257,16,15,BJP,HEALTH AND FAMILY WELFARE,0.0,0.0335,0.9665,0.42405,positive
LS16-S15-STARRED-256,16,15,BJP,FINANCE,0.036,0.038,0.926,0.0516,positive
LS16-S15-STARRED-253,16,15,BJP,FINANCE,0.0,0.043,0.957,0.4939,positive
LS16-S15-STARRED-251,16,15,BJP,FINANCE,0.185,0.0555,0.7595000000000001,0.19665,positive
LS16-S15-STARRED-250,16,15,BJP,HEALTH AND FAMILY WELFARE,0.0,0.087,0.913,0.886,positive
LS16-S15-STARRED-249,16,15,BJP,"ENVIRONMENT,  FORESTS AND CLIMATE CHANGE",0.051666666666666666,0.018333333333333333,0.93,-0.002066666666666661,neutral
LS16-S15-STARRED-248,16,15,BJP,HEALTH AND FAMILY WELFARE,0.059,0.078,0.864,0.34,positive
LS16-S15-STARRED-247,16,15,INC,WOMEN AND CHILD DEVELOPMENT,0.0125,0.0375,0.95,0.3062,positive
LS16-S15-STARRED-246,16,15,BJP,WOMEN AND CHILD DEVELOPMENT,0.0,0.0265,0.9735,0.36345,positive
LS16-S15-STARRED-245,16,15,BJP,FINANCE,0.022,0.033,0.945,0.1779,positive
LS16-S15-STARRED-244,16,15,Regional,FINANCE,0.0,0.035,0.965,0.4404,positive
LS16-S15-STARRED-243,16,15,BJP,CORPORATE AFFAIRS,0.082,0.063,0.854,-0.6249,adversarial
LS16-S15-STARRED-237,16,15,BJP,POWER,0.0185,0.069,0.9119999999999999,0.3975,positive
LS16-S15-STARRED-236,16,15,BJP,"WATER RESOURCES, RIVER DEVELOPMENT AND GANAGA REJUVENATION",0.0,0.124,0.876,0.7003,positive
LS16-S15-STARRED-234,16,15,INC,RURAL DEVELOPMENT,0.0,0.079,0.921,0.8074,positive
LS16-S15-STARRED-233,16,15,BJP,YOUTH AFFAIRS AND SPORTS,0.0,0.0465,0.9535,0.3982,positive
LS16-S15-STARRED-231,16,15,Regional,POWER,0.154,0.097,0.7484999999999999,-0.45855,adversarial
LS16-S15-STARRED-226,16,15,BJP,NEW AND RENEWABLE ENERGY,0.0,0.07,0.93,0.694,positive
LS16-S15-STARRED-225,16,15,Left,TEXTILES,0.0,0.042666666666666665,0.9573333333333333,0.2615,positive
LS16-S15-STARRED-223,16,15,JDU,RURAL DEVELOPMENT,0.0,0.053,0.947,0.6908,positive
LS16-S15-STARRED-221,16,15,BJP,MINES,0.0,0.044,0.956,0.5423,positive
LS16-S15-STARRED-220,16,15,BJP,LAW AND JUSTICE,0.0115,0.0545,0.9339999999999999,0.39915,positive
LS16-S15-STARRED-219,16,15,Left,LAW AND JUSTICE,0.0,0.079,0.921,0.53455,positive
LS16-S15-STARRED-218,16,15,RJD,COAL,0.073,0.035,0.892,-0.296,adversarial
LS16-S15-STARRED-217,16,15,BJP,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",0.0455,0.1195,0.8345,0.70715,positive
LS16-S15-STARRED-213,16,15,Left,DEVELOPMENT OF NORTH EASTERN REGION,0.0,0.028,0.972,0.24695,positive
LS16-S15-STARRED-211,16,15,INC,RAILWAYS,0.028,0.089,0.883,0.6597,positive
LS16-S15-STARRED-206,16,15,BJP,RAILWAYS,0.09,0.026,0.883,-0.7184,adversarial
LS16-S15-STARRED-201,16,15,BJP,LAW AND JUSTICE,0.0,0.087,0.913,0.7925,positive
LS16-S15-STARRED-200,16,15,BJP,HOUSING AND URBAN AFFAIRS,0.1355,0.026,0.8385,0.011225000000000013,neutral
LS16-S15-STARRED-197,16,15,BJP,HOME AFFAIRS,0.039,0.045,0.916,-0.1027,adversarial
